==============================================================
FREQ = 0.159KHz

VOLTAGES OF ELEMENTS
R1 17.949 0
R2 1.71 0
R3 1.927 180
R3 1.927 180
R3 1.927 180
R3 1.927 180
R4 22.051 0
R4 22.051 0
R4 22.051 0
R4 22.051 0
R4 19.658 0
R4 19.658 0
R5 20.342 0
R6 0.218 180

VOLTAGE OF ACTIVE SOURCES
I1 22.269 0
V1 40 0

CURRENT OF ELEMENTS
R1 8.974 0
R2 0.19 0
R3 0.241 180
R3 0.241 180
R3 0.241 180
R3 0.241 180
R4 2.205 0
R4 2.205 0
R4 2.205 0
R4 2.205 0
R4 1.966 0
R4 1.966 0
R5 5.085 0
R6 0.036 180

CURRENT OF ACTIVE SOURCES
I1 1 0
V1 12.906 0
